ADDRESS,NEAREST_SCH
"60 Prinsep Road, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"60 Redtingle Road, Camillo",KELMSCOTT SENIOR HIGH SCHOOL
"60 Regan Street, Rockingham",ROCKINGHAM MONTESSORI SCHOOL
"60 Roberts Street, Bayswater",CHISHOLM CATHOLIC COLLEGE
"60 Safety Bay Road, Shoalwater",ROCKINGHAM SENIOR HIGH SCHOOL
"60 Samson Street, Mosman Park",IONA PRESENTATION COLLEGE
"60 Sandown Circle, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"60 Selkirk Drive, Kinross",LAKE JOONDALUP BAPTIST COLLEGE
"60 Selway Road, Brentwood",ALL SAINTS' COLLEGE
"60 Sheffield Road, Wattle Grove",REHOBOTH CHRISTIAN COLLEGE
"60 Shipmaster Avenue, Alkimos",YANCHEP SECONDARY COLLEGE
"60 Southmead Drive, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"60 State Street, Victoria Park",KENT STREET SENIOR HIGH SCHOOL
"60 Stockholm Road, Wanneroo",WANNEROO SECONDARY COLLEGE
"60 Stonehaven Parade, Kinross",LAKE JOONDALUP BAPTIST COLLEGE
"60 Tasman Road, Beldon",BELRIDGE SECONDARY COLLEGE
"60 Thompson Road, North Fremantle",JOHN CURTIN COLLEGE OF THE ARTS
"60 Tibradden Circle, Ascot",CYRIL JACKSON SENIOR CAMPUS
"60 Tissington Drive, Darch",KINGSWAY CHRISTIAN COLLEGE
"60 Tokara Avenue, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"60 Tottenham Street, Chidlow",EASTERN HILLS SENIOR HIGH SCHOOL
"60 Victoria Parade, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"60 Welara Circle, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"60 Willmott Drive, Cooloongup",SAFETY BAY SENIOR HIGH SCHOOL
"60 Winterfold Road, Samson",SETON CATHOLIC COLLEGE
"60 Wintersweet Ramble, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"60 Zamia Road, Gooseberry Hill",KALAMUNDA SENIOR HIGH SCHOOL
"601 Burns Beach Road, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"6010 Phillips Road, Mundaring",MUNDARING CHRISTIAN COLLEGE
"601A Metcalfe Road, Lynwood",FOUNTAIN COLLEGE
"602 Metcalfe Road, Ferndale",FOUNTAIN COLLEGE
"602 Wanneroo Road, Balga",WARWICK SENIOR HIGH SCHOOL
"604 Beach Road, Hamersley",WARWICK SENIOR HIGH SCHOOL
"608 Light Street, Dianella",ST ANDREW'S GRAMMAR
"608 Safety Bay Road, Waikiki",SOUTH COAST BAPTIST COLLEGE
"60a Corbel Street, Shelley",CLONTARF ABORIGINAL COLLEGE
"60A Flora Terrace, Watermans Bay",CARINE SENIOR HIGH SCHOOL
"60A Harvey Street, Burswood",URSULA FRAYNE CATHOLIC COLLEGE
"60A Lamond Street, Alfred Cove",MELVILLE SENIOR HIGH SCHOOL
"60A Mills Street, Bentley",ST NORBERT COLLEGE
"60A Postling Street, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"60A Stevens Street, Fremantle",CHRISTIAN BROTHERS' COLLEGE
"60A The Promenade, Mount Pleasant",APPLECROSS SENIOR HIGH SCHOOL
"60A Towncentre Drive, Thornlie",THORNLIE SENIOR HIGH SCHOOL
"60A Tyler Street, Joondanna",SERVITE COLLEGE
"60B Cloister Avenue, Manning",AQUINAS COLLEGE
"60B McKenzie Way, Embleton",JOHN FORREST SECONDARY COLLEGE
"60B Sussex Street, East Victoria Park",KENT STREET SENIOR HIGH SCHOOL
"60B Westview Street, Scarborough",ST MARY'S ANGLICAN GIRLS' SCHOOL
"60C Justinian Street, Palmyra",MELVILLE SENIOR HIGH SCHOOL
"60C Norman Street, Innaloo",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"60C Wesley Street, Balcatta",SERVITE COLLEGE
"60D Stevens Street, Fremantle",CHRISTIAN BROTHERS' COLLEGE
"61 Alvah Street, St James",CANNING COLLEGE
"61 Amazon Drive, Beechboro",KIARA COLLEGE
"61 Ardross Way, Noranda",MORLEY SENIOR HIGH SCHOOL
"61 Armadale Crescent, Coolbinia",MOUNT LAWLEY SENIOR HIGH SCHOOL
"61 Baal Street, Palmyra",MELVILLE SENIOR HIGH SCHOOL
"61 Barang Circuit, Karawara",CANNING COLLEGE
"61 Barrington Avenue, Champion Lakes",JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL
"61 Beach Road, Marmion",CARINE SENIOR HIGH SCHOOL
"61 Beaumaris Boulevard, Ocean Reef",PRENDIVILLE CATHOLIC COLLEGE
"61 Benenden Avenue, Butler",BUTLER COLLEGE
"61 Blackmore Avenue, Girrawheen",GIRRAWHEEN SENIOR HIGH SCHOOL
"61 Bourke Street, Leederville",ARANMORE CATHOLIC COLLEGE
"61 Bradford Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"61 Brightlands Circuit, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"61 Carissa Way, Forrestfield",DARLING RANGE SPORTS COLLEGE
"61 Chatsworth Drive, Hocking",WANNEROO SECONDARY COLLEGE
"61 Cliff Street, Marmion",SACRED HEART COLLEGE
"61 Coldstream Circuit, Merriwa",ALKIMOS BAPTIST COLLEGE
"61 Connell Avenue, Martin",LUMEN CHRISTI COLLEGE
"61 Crowther Street, Bayswater",CHISHOLM CATHOLIC COLLEGE
"61 Daleford Way, Southern River",PROVIDENCE CHRISTIAN COLLEGE
"61 Dalton Crescent, Kingsley",THE MONTESSORI SCHOOL
"61 Dalvik Avenue, Merriwa",ALKIMOS BAPTIST COLLEGE
"61 Delamere Avenue, Currambine",PRENDIVILLE CATHOLIC COLLEGE
"61 Delgado Parade, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"61 Dickenson Way, Booragoon",CORPUS CHRISTI COLLEGE
"61 Dotterel Way, East Cannington",SEVENOAKS SENIOR COLLEGE
"61 Dutton Crescent, Hamersley",WARWICK SENIOR HIGH SCHOOL
"61 Eldon Street, Shoalwater",ROCKINGHAM SENIOR HIGH SCHOOL
"61 Elstree Avenue, Coolbinia",MOUNT LAWLEY SENIOR HIGH SCHOOL
"61 Esplanade, Rockingham",ROCKINGHAM MONTESSORI SCHOOL
"61 First Avenue, Rossmoyne",ROSSMOYNE SENIOR HIGH SCHOOL
"61 Gaebler Road, Hammond Park",ATWELL COLLEGE
"61 Gosford Meander, Ashby",WANNEROO SECONDARY COLLEGE
"61 Grassbird Loop, Yangebup",DIVINE MERCY COLLEGE
"61 Hagart Way, Lockridge",KIARA COLLEGE
"61 Haig Street, Ashfield",CYRIL JACKSON SENIOR CAMPUS
"61 Hainsworth Avenue, Girrawheen",EMMANUEL CHRISTIAN COMMUNITY SCHOOL
"61 HARDY ROAD, Ashfield",CYRIL JACKSON SENIOR CAMPUS
"61 Hebrides Drive, Seville Grove",CECIL ANDREWS COLLEGE
"61 Highclere Boulevard, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"61 Holmfirth Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"61 Homestead Drive, Clarkson",CLARKSON COMMUNITY HIGH SCHOOL
"61 Jackson Road, Karawara",CANNING COLLEGE
"61 Jerrail Street, Yanchep",YANCHEP SECONDARY COLLEGE
"61 Joondanna Drive, Joondanna",SERVITE COLLEGE
"61 Justin Drive, Sorrento",DUNCRAIG SENIOR HIGH SCHOOL
"61 Kathleen Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"61 Kexby Street, Balcatta",BALCATTA SENIOR HIGH SCHOOL
"61 Kingswood Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"61 Kitchener Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"61 La Fayette Boulevard, Bibra Lake",PERTH WALDORF SCHOOL
"61 Lakeside Drive, Joondalup",MATER DEI COLLEGE
"61 Letsom Way, Langford",LANGFORD ISLAMIC COLLEGE
"61 Lindsay Beach Boulevard, Yanchep",YANCHEP SECONDARY COLLEGE
"61 Maamba Road, Wattle Grove",HERITAGE COLLEGE PERTH
"61 Mabel Street, North Perth",ARANMORE CATHOLIC COLLEGE
"61 Markwell Avenue, Haynes",DALE CHRISTIAN SCHOOL
"61 Matheson Road, Ascot",CYRIL JACKSON SENIOR CAMPUS
"61 Mattingleys Approach, Burns Beach",LAKE JOONDALUP BAPTIST COLLEGE
"61 Mclean Street, Melville",MELVILLE SENIOR HIGH SCHOOL
"61 Milina Street, Hillman",KOLBE CATHOLIC COLLEGE
"61 Monaghan Circle, Darch",ASHDALE SECONDARY COLLEGE
"61 Nerida Way, Parkwood",LYNWOOD SENIOR HIGH SCHOOL
"61 North Street, Swanbourne",SCOTCH COLLEGE
"61 Norwood Loop, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"61 Oakover Way, Heathridge",PRENDIVILLE CATHOLIC COLLEGE
"61 Ogilvie Road, Mount Pleasant",AQUINAS COLLEGE
"61 Parella Court, Bennett Springs",KIARA COLLEGE
"61 Pine Valley Pass, Connolly",PRENDIVILLE CATHOLIC COLLEGE
"61 Pinot Loop, Pearsall",ALTA-1
"61 Portaferry Gardens, Ridgewood",IRENE MCCORMACK CATHOLIC COLLEGE
"61 Princeton Circuit, Aubin Grove",ATWELL COLLEGE
"61 Quinns Road, Quinns Rocks",MINDARIE SENIOR COLLEGE
"61 Redgum Avenue, Bellevue",SWAN VIEW SENIOR HIGH SCHOOL
"61 Ridgehill Rise, Roleystone",SOUTHERN HILLS CHRISTIAN COLLEGE
"61 Sacramento Parade, Hocking",WANNEROO SECONDARY COLLEGE
"61 San Miguel Drive, Leeming",LEEMING SENIOR HIGH SCHOOL
"61 San Teodoro Avenue, Sinagra",WANNEROO SECONDARY COLLEGE
"61 Seaside Avenue, Yanchep",YANCHEP SECONDARY COLLEGE
"61 Sicklemore Road, Parmelia",THE KING'S COLLEGE
"61 St Kilda Road, Rivervale",ST CLARE'S SCHOOL
"61 Summerton Road, Medina",GILMORE COLLEGE
"61 Susan Road, Madeley",KINGSWAY CHRISTIAN COLLEGE
"61 Tandara Fairway, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"61 Terence Street, Gosnells",LUMEN CHRISTI COLLEGE
"61 The Avenue, Alexander Heights",LANDSDALE CHRISTIAN SCHOOL
"61 Thompson Road, North Fremantle",JOHN CURTIN COLLEGE OF THE ARTS
"61 Thorley Way, Lockridge",KIARA COLLEGE
"61 Tissington Drive, Darch",KINGSWAY CHRISTIAN COLLEGE
"61 Toodyay Road, Middle Swan",LA SALLE COLLEGE
"61 Torquata Boulevard, Helena Valley",YOUTH FUTURES COMMUNITY SCHOOL
"61 Tramontane Approach, Dayton",SWAN CHRISTIAN COLLEGE
"61 Vaucluse Circuit, Belmont",BELMONT CITY COLLEGE
"61 Wilaring Street, Byford",BYFORD SECONDARY COLLEGE
"61 Willerin Loop, Success",ATWELL COLLEGE
"61 Williams Road, Nedlands",SHENTON COLLEGE
"61 Yeovil Crescent, Bicton",SANTA MARIA COLLEGE
"611 Safety Bay Road, Waikiki",SOUTH COAST BAPTIST COLLEGE
"612 Beach Road, Hamersley",WARWICK SENIOR HIGH SCHOOL
"613 Beach Road, Warwick",WARWICK SENIOR HIGH SCHOOL
"61A Bushby Street, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"61A Dean Road, Bateman",CORPUS CHRISTI COLLEGE
"61a Grand Promenade, Bedford",CHISHOLM CATHOLIC COLLEGE
"61A Henley Road, Mount Pleasant",APPLECROSS SENIOR HIGH SCHOOL
"61A Victoria Parade, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"61A Welwyn Avenue, Manning",AQUINAS COLLEGE
"61B Helmsdale Loop, Butler",BUTLER COLLEGE
"61B River View Terrace, Mount Pleasant",AQUINAS COLLEGE
"61B Victoria Parade, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"61E Main Street, Osborne Park",SERVITE COLLEGE
"62 Alderley Square, Wilson",SEVENOAKS SENIOR COLLEGE
"62 Alfreda Avenue, Morley",HAMPTON SENIOR HIGH SCHOOL
"62 Ambassador Drive, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"62 Balfour Road, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"62 Barfield Road, Hammond Park",ATWELL COLLEGE
"62 Bauer Circle, Banksia Grove",JOSEPH BANKS SECONDARY COLLEGE
"62 Belvoir Crescent, Orelia",GILMORE COLLEGE
"62 Billericay Circuit, Butler",BUTLER COLLEGE
"62 Birkett Avenue, Beeliar",DIVINE MERCY COLLEGE
"62 Bishop Road, Middle Swan",SWAN CHRISTIAN COLLEGE
"62 Boddington Circuit, Dianella",ST ANDREW'S GRAMMAR
"62 Broadside Avenue, Eglinton",YANCHEP SECONDARY COLLEGE
"62 Brodie Lane, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"62 Brumby Avenue, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"62 Bruns Drive, Darling Downs",ARMADALE SENIOR HIGH SCHOOL
"62 Burdekin Turn, Hilbert",DALE CHRISTIAN SCHOOL
"62 Butterworth Avenue, Koondoola",MERCY COLLEGE
"62 Callander Avenue, Kinross",LAKE JOONDALUP BAPTIST COLLEGE
"62 Callison Way, Koondoola",MERCY COLLEGE
"62 Campbell Street, Kensington",WESLEY COLLEGE
"62 Carlton Turn, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"62 Carpenteria Drive, Stirling",BALCATTA SENIOR HIGH SCHOOL
"62 Champion Drive, Bertram",THE KING'S COLLEGE
"62 Christmas Avenue, Heathridge",PRENDIVILLE CATHOLIC COLLEGE
"62 Chrysostom Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"62 Colreavy Ramble, Baldivis",BALDIVIS SECONDARY COLLEGE
"62 Colwyn Loop, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"62 Coonawarra Drive, Caversham",KIARA COLLEGE
"62 Dalrymple Drive, Leda",PETER CARNLEY ANGLICAN COMMUNITY SCHOOL
"62 Delgado Parade, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"62 Dorney Esplanade, Champion Lakes",JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL
"62 Downey Drive, Manning",COMO SECONDARY COLLEGE
"62 Duchart Way, Coogee",PORT SCHOOL
"62 East Street, Guildford",GUILDFORD GRAMMAR SCHOOL
"62 Elliot Road, Hocking",WANNEROO SECONDARY COLLEGE
"62 Ellison Drive, Padbury",DUNCRAIG SENIOR HIGH SCHOOL
"62 Elsbury Approach, Clarkson",YOUTH FUTURES COMMUNITY SCHOOL
"62 EXHIBITION WAY, Cooloongup",SAFETY BAY SENIOR HIGH SCHOOL
"62 Flametree Boulevard, Harrisdale",CAREY BAPTIST COLLEGE
"62 Folland Parade, Atwell",ATWELL COLLEGE
"62 Forillion Avenue, Bibra Lake",PERTH WALDORF SCHOOL
"62 Gallipoli Drive, Greenmount",SWAN VIEW SENIOR HIGH SCHOOL
"62 Gibson Avenue, Padbury",DUNCRAIG SENIOR HIGH SCHOOL
"62 Goundrey Drive, Pearsall",ALTA-1
"62 Gracechurch Crescent, Leeming",WILLETTON SENIOR HIGH SCHOOL
"62 Great Northern Highway, Middle Swan",LA SALLE COLLEGE
"62 Gresham Street, Victoria Park",URSULA FRAYNE CATHOLIC COLLEGE
"62 Hampton Road, Darch",ASHDALE SECONDARY COLLEGE
"62 Hannaford Avenue, Clarkson",CLARKSON COMMUNITY HIGH SCHOOL
"62 Helena Street, Guildford",GUILDFORD GRAMMAR SCHOOL
"62 High Street, Sorrento",SACRED HEART COLLEGE
"62 Hillwood Avenue, Warwick",WARWICK SENIOR HIGH SCHOOL
"62 Honeywood Avenue, Wandi",ATWELL COLLEGE
"62 Huntingdale Road, Huntingdale",SOUTHERN RIVER COLLEGE
"62 Hurd Road, Bullsbrook",HOLY CROSS COLLEGE
"62 Jacana Parade, Ballajura",BALLAJURA COMMUNITY COLLEGE
"62 Jedburgh Loop, Sinagra",WANNEROO SECONDARY COLLEGE
"62 Kingfisher Avenue, Ballajura",BALLAJURA COMMUNITY COLLEGE
"62 Koolbardi Loop, Byford",BYFORD SECONDARY COLLEGE
"62 La Fayette Boulevard, Bibra Lake",PERTH WALDORF SCHOOL
"62 Lanark Street, Coolbinia",ARANMORE CATHOLIC COLLEGE
"62 Lawley Street, Tuart Hill",SERVITE COLLEGE
"62 Le Grand Gardens, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"62 Lynn Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"62 Mallard Way, Cannington",ST NORBERT COLLEGE
"62 Margaret Street, Ashfield",CYRIL JACKSON SENIOR CAMPUS
"62 Markham Way, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"62 Markwell Avenue, Haynes",DALE CHRISTIAN SCHOOL
"62 Milano Loop, Seville Grove",CECIL ANDREWS COLLEGE
"62 Monument Street, Mosman Park",IONA PRESENTATION COLLEGE
"62 Natham Square, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"62 Otisco Crescent, Joondalup",LAKE JOONDALUP BAPTIST COLLEGE
"62 Parktree Avenue, Yanchep",YANCHEP SECONDARY COLLEGE
"62 Parnell Avenue, Marmion",SACRED HEART COLLEGE
"62 Paterson Street, Mundijong",COURT GRAMMAR SCHOOL
"62 Porongurup Drive, Clarkson",CLARKSON COMMUNITY HIGH SCHOOL
"62 Portwine Avenue, Byford",BYFORD SECONDARY COLLEGE
"62 Prinsep Road, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"62 Ranworth Road, Hocking",WANNEROO SECONDARY COLLEGE
"62 Regan Street, Rockingham",ROCKINGHAM MONTESSORI SCHOOL
"62 Riseley Street, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"62 Sacramento Avenue, Beechboro",KIARA COLLEGE
"62 Santorini Promenade, Alkimos",BUTLER COLLEGE
"62 Saponara Drive, Sinagra",WANNEROO SECONDARY COLLEGE
"62 Terelinck Crescent, Redcliffe",BELMONT CITY COLLEGE
"62 Tissington Drive, Darch",KINGSWAY CHRISTIAN COLLEGE
"62 Tokara Avenue, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"62 Waratah Avenue, Dalkeith",CHRIST CHURCH GRAMMAR SCHOOL
"62 Waterford Avenue, Waterford",CLONTARF ABORIGINAL COLLEGE
"62 Watkins Road, Dalkeith",CHRIST CHURCH GRAMMAR SCHOOL
"62 Watson Street, Bassendean",CYRIL JACKSON SENIOR CAMPUS
"62 Wicca Street, Kewdale",BELMONT CITY COLLEGE
"62 Wicklow Circle, Darch",KINGSWAY CHRISTIAN COLLEGE
"62 Williams Road, Nedlands",SHENTON COLLEGE
"62 Wintersweet Ramble, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"62 Ypres Road, Camillo",KELMSCOTT SENIOR HIGH SCHOOL
"621 Burns Beach Road, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"622 Great Northern Highway, Herne Hill",SWAN CHRISTIAN COLLEGE
"623 Connemara Drive, Brigadoon",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"623B Metcalfe Road, Lynwood",LANGFORD ISLAMIC COLLEGE
"625 Canning Highway, Alfred Cove",APPLECROSS SENIOR HIGH SCHOOL
"62a Amherst Road, Canning Vale",CANNING VALE COLLEGE
"62A Duke Street, Scarborough",ST MARY'S ANGLICAN GIRLS' SCHOOL
"62a Hainsworth Avenue, Girrawheen",EMMANUEL CHRISTIAN COMMUNITY SCHOOL
"62A Rutland Avenue, Lathlain",URSULA FRAYNE CATHOLIC COLLEGE
"62a Samson Street, White Gum Valley",FREMANTLE COLLEGE
"62a Stoneham Road, Attadale",SANTA MARIA COLLEGE
"62B Beach Road, Watermans Bay",CARINE SENIOR HIGH SCHOOL
"62b Flora Terrace, Watermans Bay",CARINE SENIOR HIGH SCHOOL
"62B Kennedy Road, Morley",JOHN FORREST SECONDARY COLLEGE
"62B Redwood Crescent, Melville",MELVILLE SENIOR HIGH SCHOOL
"62D Amberley Way, Westminster",BALGA SENIOR HIGH SCHOOL
"63 Adelaide Circle, Craigie",BELRIDGE SECONDARY COLLEGE
"63 Aintree Street, Hamersley",WARWICK SENIOR HIGH SCHOOL
"63 Albatross Loop, Bennett Springs",KIARA COLLEGE
"63 Amberley Way, Pearsall",ALTA-1
"63 Amberton Avenue, Girrawheen",GIRRAWHEEN SENIOR HIGH SCHOOL
"63 Amity Boulevard, Coogee",PORT SCHOOL
"63 Ardleigh Crescent, Hamersley",WARWICK SENIOR HIGH SCHOOL
"63 Bankhurst Way, Greenwood",WARWICK SENIOR HIGH SCHOOL
"63 Barrington Avenue, Champion Lakes",JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL
"63 Bayport Circuit, Mindarie",YOUTH FUTURES COMMUNITY SCHOOL
"63 Beach Street, Bicton",SANTA MARIA COLLEGE
"63 Birdwood Avenue, Como",PENRHOS COLLEGE
"63 Blaxland Avenue, Two Rocks",YANCHEP SECONDARY COLLEGE
"63 Brumby Avenue, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"63 Cabernet Loop, Pearsall",ALTA-1
"63 Cantrell Circuit, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"63 Centennial Avenue, Bertram",THE KING'S COLLEGE
"63 Chrysostom Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"63 Cockman Road, Greenwood",WARWICK SENIOR HIGH SCHOOL
"63 Colchester Avenue, Orelia",GILMORE COLLEGE
"63 Coogee Road, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"63 Cookham Road, Lathlain",ST CLARE'S SCHOOL
"63 Cranford Avenue, Brentwood",CORPUS CHRISTI COLLEGE
"63 Dampier Drive, Golden Bay",COMET BAY COLLEGE
"63 Davenport Circuit, Mindarie",MINDARIE SENIOR COLLEGE
"63 David Crescent, Hillarys",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"63 Delgado Parade, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"63 Dumsday Drive, Forrestdale",CAREY BAPTIST COLLEGE
"63 Dunmore Circuit, Merriwa",ALKIMOS BAPTIST COLLEGE
"63 Dutton Crescent, Hamersley",WARWICK SENIOR HIGH SCHOOL
"63 East Street, Guildford",GUILDFORD GRAMMAR SCHOOL
"63 East Street, Maylands",PERTH COLLEGE
"63 Edeline Street, Spearwood",PORT SCHOOL
"63 Elsie Street, Watermans Bay",CARINE SENIOR HIGH SCHOOL
"63 Elswick Street, Safety Bay",SAFETY BAY SENIOR HIGH SCHOOL
"63 Esther Street, Eden Hill",HAMPTON SENIOR HIGH SCHOOL
"63 Everglades Parade, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"63 Flowerwood Way, Huntingdale",THORNLIE SENIOR HIGH SCHOOL
"63 Fourth Avenue, Eden Hill",CYRIL JACKSON SENIOR CAMPUS
"63 Frederick Road, Hamilton Hill",PORT SCHOOL
"63 Gaebler Road, Hammond Park",ATWELL COLLEGE
"63 Galwey Street, Leederville",ARANMORE CATHOLIC COLLEGE
"63 Gateway Boulevard, Canning Vale",CANNING VALE COLLEGE
"63 Gillett Drive, Kardinya",NORTH LAKE SENIOR CAMPUS
"63 Greenfield Crescent, Caversham",KIARA COLLEGE
"63 Harvest Road, North Fremantle",JOHN CURTIN COLLEGE OF THE ARTS
"63 Hennessy Drive, Ashby",WANNEROO SECONDARY COLLEGE
"63 Hobart Street, Mount Hawthorn",ARANMORE CATHOLIC COLLEGE
"63 Hope Street, White Gum Valley",FREMANTLE COLLEGE
"63 James Spiers Drive, Wanneroo",ALTA-1
"63 Jane Brook Drive, Jane Brook",SWAN VIEW SENIOR HIGH SCHOOL
"63 Kentucky Boulevard, Hocking",WANNEROO SECONDARY COLLEGE
"63 Kenwick Road, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"63 Lamond Street, Alfred Cove",MELVILLE SENIOR HIGH SCHOOL
"63 Lannam Road, Hilbert",DALE CHRISTIAN SCHOOL
"63 Lateral Loop, Beldon",BELRIDGE SECONDARY COLLEGE
"63 Le Grand Gardens, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"63 Lefroy Road, Beaconsfield",FREMANTLE COLLEGE
"63 Litchfield Circle, Wandi",ATWELL COLLEGE
"63 London Street, Mount Hawthorn",ARANMORE CATHOLIC COLLEGE
"63 Marchamley Street, Carlisle",AUSTRALIAN ISLAMIC COLLEGE - KEWDALE
"63 Markwell Avenue, Haynes",DALE CHRISTIAN SCHOOL
"63 Marshall Way, Samson",SETON CATHOLIC COLLEGE
"63 Mclean Street, Melville",MELVILLE SENIOR HIGH SCHOOL
"63 Meridian Drive, Mullaloo",BELRIDGE SECONDARY COLLEGE
"63 Murdoch Drive, Singleton",COMET BAY COLLEGE
"63 Myerson Crescent, Maida Vale",DARLING RANGE SPORTS COLLEGE
"63 Oakbella Parade, Harrisdale",CAREY BAPTIST COLLEGE
"63 Orchid Avenue, Bennett Springs",KIARA COLLEGE
"63 Pilbara Crescent, Jane Brook",SWAN VIEW SENIOR HIGH SCHOOL
"63 Poseidon Road, Heathridge",BELRIDGE SECONDARY COLLEGE
"63 Princeton Circuit, Aubin Grove",ATWELL COLLEGE
"63 Redgum Avenue, Bellevue",SWAN VIEW SENIOR HIGH SCHOOL
"63 Ridge Road, Cockburn Central",EMMANUEL CATHOLIC COLLEGE
"63 Rosinski Circle, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"63 Sanderling Drive, Thornlie",THORNLIE SENIOR HIGH SCHOOL
"63 Sandown Circle, Henley Brook",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"63 Sedgeland Way, Ascot",BELMONT CITY COLLEGE
"63 Sicklemore Road, Parmelia",THE KING'S COLLEGE
"63 Slater Court, Kardinya",KENNEDY BAPTIST COLLEGE
"63 Sorrento Street, North Beach",CARINE SENIOR HIGH SCHOOL
"63 South Lake Drive, South Lake",LAKELAND SENIOR HIGH SCHOOL
"63 South Street, Kardinya",KENNEDY BAPTIST COLLEGE
"63 St Barnabas Boulevard, Quinns Rocks",ALKIMOS BAPTIST COLLEGE
"63 St Catharines Promenade, Champion Lakes",JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL
"63 St James Drive, Baldivis",BALDIVIS SECONDARY COLLEGE
"63 Star Bush Crescent, Ellenbrook",ELLENBROOK SECONDARY COLLEGE
"63 Strickland Street, South Perth",WESLEY COLLEGE
"63 Tandara Fairway, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"63 Torquata Drive, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"63 Tullamore Drive, Darch",KINGSWAY CHRISTIAN COLLEGE
"63 Unnaro Street, Hillman",KOLBE CATHOLIC COLLEGE
"63 Vaucluse Circuit, Belmont",BELMONT CITY COLLEGE
"63 Waterperry Drive, Canning Vale",PROVIDENCE CHRISTIAN COLLEGE
"63 Wattle Mews, Hocking",WANNEROO SECONDARY COLLEGE
"63 Weatherley Drive, Two Rocks",YANCHEP SECONDARY COLLEGE
"63 Wood Street, Swanbourne",SCOTCH COLLEGE
"63 Wooloomooloo Road, Greenmount",SWAN VIEW SENIOR HIGH SCHOOL
"63/45 Elvire Street, Viveash",LA SALLE COLLEGE
"630 Rosedale Road, Chidlow",EASTERN HILLS SENIOR HIGH SCHOOL
"635 Coulston Road, Boya",TREETOPS MONTESSORI SCHOOL
"63A Birkett Street, Bedford",CHISHOLM CATHOLIC COLLEGE
